uri,cid,author_did,author_handle,created_at,text,link
at://did:plc:pfjydwwcgr4g2r5rzi6euord/app.bsky.feed.post/3m624qlr6mk2c,bafyreifoxwt73kfdjsgc7xghqcgq2umcldiwikmlgxsgfxougmp3kkbfwe,did:plc:pfjydwwcgr4g2r5rzi6euord,tartariaxennial.bsky.social,2025-11-20T06:19:15.219Z,"I am unapologetic when it comes to people who would rather gaslight than be a decent human being. 
#BurningBridgesToLightMyWay",https://bsky.app/profile/
at://did:plc:l4y56p5e7ofj2zspucopqzue/app.bsky.feed.post/3m624hj5yfk25,bafyreiaycny2kvzawxteugpd5ukuad3vmgn7uorsmygdrmje7pzl4wnafu,did:plc:l4y56p5e7ofj2zspucopqzue,lanana421.bsky.social,2025-11-20T06:14:10.501Z,"Listen, you already weighed in... in my favor. No caveats now. 

For the record: It's just the two of us and we are watching together in the same room, BUT we watched one episode last night. He said no when I asked. There was still one episode left, and he's trying to gaslight me with semantics 😜",https://bsky.app/profile/
at://did:plc:xb4ddwlgfmbckuje56vpciun/app.bsky.feed.post/3m624dzvex223,bafyreibcbf7vgpokojjbjshh3hnqrmfka23bllbyzyyp2w6ixt26gohxb4,did:plc:xb4ddwlgfmbckuje56vpciun,netknave.bsky.social,2025-11-20T06:12:13.829Z,"In fairness parents who buy their kids an AI MurderBear™ deserve whatever demonic shit it gets up to.

Come to think of it there is absolutely a lane for someone to gaslight the QAnon-types that anything AI is literally demonic, and that the AI-bro  weirdos are secretly satanists (the bad kind)",https://bsky.app/profile/
at://did:plc:ewx7uxsofoloyi7fw742qmdg/app.bsky.feed.post/3m622ivezck23,bafyreihbkghf27esjzbalbfzbjecu6you7pm6ua4zpwkh3aprcy546imwq,did:plc:ewx7uxsofoloyi7fw742qmdg,ashsdreamboard.bsky.social,2025-11-20T05:39:09.386Z,two grown ass men way too comfortable thinking they can gaslight the audience into thinking they meant anything other than what they said.,https://bsky.app/profile/
at://did:plc:ywgct4gahxw4j6vnsrtg2gxy/app.bsky.feed.post/3m5zza2fpm222,bafyreibzof6aii5calhcs7l2qi4qp5hguhvhxoltxrjxbugnzoazhuhyfu,did:plc:ywgct4gahxw4j6vnsrtg2gxy,livnicely.bsky.social,2025-11-20T05:16:18.920Z,"Immigration violations are a civil matter. Not a criminal matter.
Stop letting them gaslight you.",https://bsky.app/profile/
at://did:plc:jmu5wxhgzspuoig4kssnvu7b/app.bsky.feed.post/3m5zz2nmkyc2r,bafyreicvd2ceheuifh3x642l3clcwxygr6seyzpfvfodehpjeuk7onhvaa,did:plc:jmu5wxhgzspuoig4kssnvu7b,melissjpeltier.bsky.social,2025-11-20T05:13:17.741Z,"Oh. Come. On.
THIS is the tech that’s supposed to usher in the brave new world?

How long to we let the Tech Bros gaslight us?",https://bsky.app/profile/
at://did:plc:zikwr4lq6gkhneh2ida672k5/app.bsky.feed.post/3m5zy2kromc2m,bafyreib2t3sm5plbu4dvmxdkednhqv2thqhde2u3gahhzd4is4rnztyx34,did:plc:zikwr4lq6gkhneh2ida672k5,shrikepublishing.com,2025-11-20T04:55:21.022Z,"The fact that the sith code is anything other than ""gaslight, gatekeep, girlboss"" is a crime",https://bsky.app/profile/
at://did:plc:xkrwirv5owtpgfq3vkvfdl7z/app.bsky.feed.post/3m5zsvfuepc2p,bafyreiaiccs4hmwpd3y7grh7mkoq2bkxal66gpleuabwwo223p6iqtqbeq,did:plc:xkrwirv5owtpgfq3vkvfdl7z,vocalderbyguy.bsky.social,2025-11-20T03:22:59.385Z,Nice follow up for the LoveBomb Megasus-Problem match. #AEW wants this tag team title tourney to really mean something.,https://bsky.app/profile/
at://did:plc:fwohks6s5r5rdcxqx2qqyd4c/app.bsky.feed.post/3m5ymbflbnc2j,bafyreidikrhbzagqvvxp7t4v5submg4r2rpm3egd5zoydqrbazjpwyqgwi,did:plc:fwohks6s5r5rdcxqx2qqyd4c,enntropy.bsky.social,2025-11-19T15:51:45.810Z,can’t lovebomb if you do the lovebombing!,https://bsky.app/profile/
at://did:plc:4wpvbhgxe2yin7s3rdeiy5yo/app.bsky.feed.post/3m5wcur7z5k23,bafyreifeld6b47j3wcis7phfvc6arw7crtqmzgqj4mrwyllleedhoiwjj4,did:plc:4wpvbhgxe2yin7s3rdeiy5yo,peahaw.bsky.social,2025-11-18T17:58:18.642Z,"shoutout to people who lovebomb, overstep and take advantage of others through lying by omission! its soooo cool o+< i’ve felt physically ill for like… three days now",https://bsky.app/profile/
